,장소이름,소개,가격대,요리,특별식 제공,식사 시간,특징
0,인디언키친,제주도 인도음심점,"₩15,000 - ₩30,000","인도 요리, 아시아 요리, 건강식","채식주의 식단, 채식 옵션, 할랄, 코셔, 글루텐 프리","점심식사, 저녁식사, 음료","테이크아웃, 예약, 야외석, 좌석, 주차 가능, 무료 주차장, 유아용 의자 있음, 휠체어 이용 가능, 주류 판매, 다양한 주류를 제공, 와인 및 맥주, 무료 와이파이, 신용카드 결제 가능, 테이블 서비스"
1,명진전복,,,"해산물, 아시아 요리, 한국",,"점심식사, 저녁식사","좌석, 주차 가능, 무료 주차장, 유아용 의자 있음, 주류 판매, 신용카드 결제 가능, 테이블 서비스"
2,우진해장국,,,"아시아 요리, 한국, 수프",,"아침식사, 점심식사, 저녁식사","테이크아웃, 좌석, 주류 판매, 신용카드 결제 가능, 테이블 서비스"
3,올래국수,,,"아시아 요리, 한국",,"점심식사, 저녁식사","좌석, 신용카드 결제 가능, 테이블 서비스"
4,마초 그릴,,"₩6,500 - ₩25,000","멕시코 요리, 사우스웨스턴, 라틴, 중앙아메리카",채식주의 식단,"점심식사, 저녁식사","테이크아웃, 좌석, 주류 판매, 무료 와이파이, 테이블 서비스, 텔레비전, 다양한 주류를 제공"
5,고집돌우럭,"농림축산식품부 선정 코로나 방역 우수식당 식약처 인증 위생등급 ""우수"" 획득(제주 2만여개 일반음식점 중 유일) 네이버, 구글 총 리뷰수 1위 인스타 게시물 수 1위 고객웨이팅 리뷰 제주도 내 최다, 최고평점(4.8점) 트립어드바이저 2018, 2019 으뜸시설 선정 (제주시 1위, 서귀포시 1위)","₩9,000 - ₩99,000","해산물, 아시아 요리, 한국",,"점심식사, 저녁식사, 음료","좌석, 주차 가능, 노상 주차, 무료 주차장, 유아용 의자 있음, 다양한 주류를 제공, 전자 결제, 신용카드 결제 가능, 테이블 서비스, 테이크아웃, 예약, 휠체어 이용 가능, 드라이브 스루"
6,블루버드 바이 맥파이,,,"자가 맥주 판매pub, 바, 피자, 펍",,"저녁식사, 야간 영업, 음료","테이크아웃, 좌석, 휠체어 이용 가능, 주류 판매, 테이블 서비스"
7,협재화덕 도나토스,8세 미만의 입장을 정중히 제한합니다 8세 이상도 실내에서 뛰거나 소란스럽지 않도록 부탁드립니다.,,"이탈리아 요리, 피자","채식주의 식단, 채식 옵션","점심식사, 저녁식사, 브런치","테이크아웃, 예약, 좌석, 무료 주차장, 주류 판매, 다양한 주류를 제공, 와인 및 맥주, 아메리칸 익스프레스, 마스터카드, 비자카드, 무료 와이파이, 신용카드 결제 가능, 테이블 서비스"
8,돈사돈,,,"바베큐, 아시아 요리, 한국",,"점심식사, 저녁식사","좌석, 주류 판매, 테이블 서비스"
9,광원,,"₩37,647 - ₩74,118","바베큐, 아시아 요리, 한국",,"점심식사, 저녁식사, 브런치","테이크아웃, 예약, 야외석, 프라이빗 다이닝, 좌석, 유아용 의자 있음, 휠체어 이용 가능, 주류 판매, 무료 와이파이, 테이블 서비스"
